account,text,date,compound,positive,neutral,negative
CBS,RT @ElizabethGilbe3: @carrieunderwood never disappoints! What an amazing voice and beautiful soul! #ACMawards #girlcrush,2018-04-16 02:12:19,0.8877,0.488,0.512,0.0
CBS,RT @SarahJPrimo: I could listen to Dan and Shay all day  #ACMawards,2018-04-16 02:10:19,0.0,0.0,1.0,0.0
CBS,RT @MegsMouthful: @carrieunderwood Just WOW. Can’t wait to hear more of your new music! #ACMawards,2018-04-16 02:10:11,0.7027,0.256,0.744,0.0
CBS,Hugs for @CarrieUnderwood and @KeithUrban's big win for Vocal Event of the Year! #ACMawards https://t.co/nn2XJ6nCSi,2018-04-16 02:10:09,0.807,0.359,0.641,0.0
CBS,Always be yourself. Unless you can be @carrieunderwood. Then be Carrie Underwood! #ACMawards #CryPretty https://t.co/32n0QJ1FLD,2018-04-16 02:04:45,0.0,0.0,1.0,0.0
CBS,"RT @VeldmanKylie: Carrie Underwood gives me chills everytime she performs, she always kills it 🔥❤ #ACMawards",2018-04-16 02:02:19,-0.5423,0.0,0.811,0.189
CBS,Hands up for @littlebigtown at the #ACMawards🙌 https://t.co/o8YFtpGLfK,2018-04-16 01:47:20,0.0,0.0,1.0,0.0
CBS,RT @reba: So good to see my friend Eve twice this week! @therealeve @acmawards #acmawards https://t.co/a6LxEaQt8L,2018-04-16 01:47:01,0.8038,0.341,0.659,0.0
CBS,See all the amazing red carpet looks from the 53rd #ACMawards: https://t.co/ZeZiMXphFK https://t.co/Gi79cuuVPm,2018-04-16 01:46:34,0.5859,0.241,0.759,0.0
CBS,RT @maddymika_: the ACM awards are the BEST night of the year 😍😍😍❣️❣️❣️ #ACMAwards,2018-04-16 01:41:44,0.8374,0.398,0.602,0.0
CBS,🚨 Sound the alarm because @mirandalambert is on FIRE 🔥 at the #ACMawards! https://t.co/11vshBs4EV,2018-04-16 01:40:16,-0.8034,0.0,0.612,0.388
CBS,RT @Skylar_Jean: @mirandalambert can do NO wrong. She is perfection. #ACMawards,2018-04-16 01:36:25,-0.3254,0.209,0.451,0.34
CBS,RT @EmilyyBruorton: @mirandalambert is my all time favorite 🔥#ACMAwards #keeperoftheflame #thebest,2018-04-16 01:36:19,0.4588,0.231,0.769,0.0
CBS,Hats off to @Jason_Aldean! 🤠 #ACMawards https://t.co/1WSjnafKoX,2018-04-16 01:34:44,0.0,0.0,1.0,0.0
CBS,RT @alyssaa711: Country music just brings so much joy to my heart ❤️ #ACMawards,2018-04-16 01:33:02,0.6222,0.226,0.774,0.0
CBS,"She may hate love songs, but @KelseaBallerini knows how to write a great one. 💕 Give her a round of applause for th… https://t.co/r50viWNM0Z",2018-04-16 01:32:27,0.891,0.359,0.571,0.071
